"year_"	"ID"	"UL"	"UR"	"LL"	"LR"	"gps_tagID"	"sex"	"lat"	"lon"	"caught_time"	"dead"
2018	"245125800"	"Y"	NA	"M"	"G,O,LB"	NA	"F"	71.3235549926758	-156.643646240234	2018-06-22 12:11:00	0
2018	"270170001"	"M"	"W"	"R"	"R,W"	NA	"M"	71.3078460693359	-156.705230712891	2018-06-02 10:42:00	0
2018	"270170002"	"M"	"W"	"G"	"O,O"	NA	"M"	71.2905883789062	-156.667999267578	2018-06-02 12:31:00	0
2018	"270170003"	"M"	"W"	"W"	"DB,G"	NA	"M"	71.2906723022461	-156.668334960938	2018-06-03 16:02:00	0
2018	"270170004"	"M"	"W"	"R"	"DB,DB"	NA	"F"	71.2906723022461	-156.668334960938	2018-06-03 16:02:00	0
2018	"270170005"	"M"	"W"	"O"	"G,O"	NA	"F"	71.290641784668	-156.669143676758	2018-06-03 16:18:00	0
2018	"270170006"	"M"	"W"	"G"	"R,DB"	NA	"F"	71.2908706665039	-156.669631958008	2018-06-03 16:44:00	0
2018	"270170006"	"M"	"W"	"G"	"R,DB"	NA	"F"	71.290901184082	-156.670227050781	2018-06-16 17:10:00	0
2018	"270170007"	"M"	"W"	"R,O"	"G"	NA	"M"	71.2908706665039	-156.669631958008	2018-06-03 16:44:00	0
2018	"270170008"	"M"	"W"	"G"	"O,R"	NA	"F"	71.2909698486328	-156.669326782227	2018-06-03 16:57:00	0
2018	"270170009"	"M"	"W"	"Y"	"Y,G"	NA	"F"	71.2908630371094	-156.669250488281	2018-06-03 17:15:00	0
2018	"270170009"	"M"	NA	NA	"COBA"	NA	"F"	71.2914733886719	-156.671447753906	2018-06-07 19:11:00	0
2018	"270170010"	"M"	"W"	"O"	"G,G"	NA	"F"	71.290657043457	-156.669174194336	2018-06-03 17:27:00	0
2018	"270170011"	"M"	"W"	"W"	"W,O"	NA	"M"	71.2904281616211	-156.669326782227	2018-06-03 17:36:00	0
2018	"270170012"	"M"	"W"	"W"	"R,O"	NA	"F"	71.2910766601562	-156.669723510742	2018-06-04 14:26:00	0
2018	"270170013"	"M"	"W"	"O"	"Y,Y"	NA	"F"	71.2905578613281	-156.669387817383	2018-06-04 15:05:00	0
2018	"270170014"	"M"	"W"	"G"	"W,W"	NA	"M"	71.2903747558594	-156.668441772461	2018-06-04 15:45:00	0
2018	"270170015"	"M"	"W"	"O"	"O,Y"	NA	"F"	71.2903747558594	-156.668441772461	2018-06-04 15:45:00	0
2018	"270170016"	"M"	"W"	"Y"	"Y,DB"	NA	"F"	71.2984390258789	-156.698944091797	2018-06-05 15:07:00	0
2018	"270170017"	"M"	"W"	"O"	"Y,R"	NA	"F"	71.2979431152344	-156.701385498047	2018-06-05 16:53:00	0
2018	"270170018"	"M"	"W"	"Y"	"DB,Y"	NA	"M"	71.2979431152344	-156.701385498047	2018-06-05 16:53:00	0
2018	"270170029"	"M"	NA	NA	"COBA"	NA	"F"	71.2914733886719	-156.671447753906	2018-06-07 19:05:00	1
2018	"270170031"	"M"	NA	NA	"COBA"	NA	"F"	71.2914733886719	-156.671447753906	2018-06-07 19:05:00	1
2018	"270170033"	"M"	"W"	"W"	"R,W"	NA	"M"	71.2905502319336	-156.664855957031	2018-06-10 14:41:00	0
2018	"270170034"	"M"	"W"	"R"	"R,R"	NA	"F"	71.2891082763672	-156.668334960938	2018-06-10 14:45:00	0
2018	"270170035"	"M"	"W"	"R"	"G,W"	NA	"M"	71.2908020019531	-156.665924072266	2018-06-10 14:54:00	0
2018	"270170036"	"M"	"W"	"R"	"G,R"	NA	"F"	71.2907409667969	-156.664749145508	2018-06-10 15:07:00	0
2018	"270170037"	"M"	"W"	"O"	"W,G"	NA	"M"	71.2891235351562	-156.66748046875	2018-06-10 15:09:00	0
2018	"270170038"	"M"	"W"	"R"	"Y,R"	NA	"F"	71.2906494140625	-156.665115356445	2018-06-10 15:27:00	0
2018	"270170039"	"M"	"W"	"O"	"DB,W"	NA	"F"	71.2904205322266	-156.664733886719	2018-06-10 15:34:00	0
2018	"270170040"	"M"	"W"	"W"	"W,Y"	NA	"F"	71.2910232543945	-156.666564941406	2018-06-10 15:43:00	0
2018	"270170041"	"M"	"W"	"G"	"O,Y"	NA	"M"	71.2894744873047	-156.668212890625	2018-06-10 15:57:00	0
2018	"270170042"	"M"	"W"	"W"	"DB,DB"	NA	"F"	71.2912902832031	-156.667465209961	2018-06-10 16:07:00	0
2018	"270170043"	"M"	"W"	"O"	"G,DB"	NA	"M"	71.2897033691406	-156.666397094727	2018-06-10 16:16:00	0
2018	"270170044"	"M"	"W"	"G"	"G,O"	NA	"F"	71.289680480957	-156.668869018555	2018-06-10 16:27:00	0
2018	"270170045"	"M"	"W"	"R"	"R,G"	NA	"F"	71.2906875610352	-156.66584777832	2018-06-10 16:28:00	0
2018	"270170046"	"M"	"W"	"R"	"W,Y"	NA	"F"	71.2916412353516	-156.666488647461	2018-06-10 16:31:00	0
2018	"270170047"	"M"	"W"	"Y"	"W,O"	NA	"F"	71.2892761230469	-156.66618347168	2018-06-10 17:04:00	0
2018	"270170048"	"M"	"W"	"Y"	"R,DB"	NA	"F"	71.3237533569336	-156.671539306641	2018-06-10 17:42:00	0
2018	"270170049"	"M"	"W"	"W"	"O,W"	NA	"M"	71.3237609863281	-156.672134399414	2018-06-10 17:45:00	0
2018	"270170049"	"M"	"W"	"W"	"O,W"	14	"M"	71.3237762451172	-156.671691894531	2018-06-12 17:39:00	0
2018	"270170050"	"W"	"M"	"G"	"O,O"	20	"F"	71.3238067626953	-156.671020507812	2018-06-11 10:30:00	0
2018	"270170051"	"M"	"W"	"W,R"	"R"	NA	"F"	71.32373046875	-156.674911499023	2018-06-11 10:52:00	0
2018	"270170051"	"M"	"W"	"W,R"	"R"	7	"F"	71.3225326538086	-156.674911499023	2018-06-12 10:58:00	0
2018	"270170052"	"M"	"W"	"G,Y"	"W"	NA	"F"	71.3237533569336	-156.674774169922	2018-06-11 10:56:00	0
2018	"270170052"	"M"	"W"	"G,Y"	"W"	16	"F"	71.32373046875	-156.673248291016	2018-06-13 09:59:00	0
2018	"270170053"	"M"	"W"	"O,Y"	"Y"	NA	"F"	71.3239898681641	-156.676040649414	2018-06-11 11:16:00	0
2018	"270170054"	"M"	"W"	"R,W"	"R"	1	"F"	71.3237609863281	-156.671432495117	2018-06-11 11:36:00	0
2018	"270170054"	"M"	"W"	"R,W"	"R"	NA	"F"	71.3227767944336	-156.674575805664	2018-06-13 16:27:00	0
2018	"270170055"	"M"	"W"	"W,R"	"O"	4	"M"	71.3221054077148	-156.678237915039	2018-06-11 16:42:00	0
2018	"270170055"	"M"	"W"	"W,R"	"O"	70	"M"	71.3224792480469	-156.67463684082	2018-06-16 10:50:00	0
2018	"270170056"	"M"	"W"	"W,O"	"Y"	10	"F"	71.3234405517578	-156.674728393555	2018-06-12 10:48:00	0
2018	"270170057"	"M"	"W"	"DB,DB"	"W"	8	"M"	71.3231353759766	-156.674758911133	2018-06-12 10:53:00	0
2018	"270170058"	"M"	"W"	"R,W"	"W"	13	"F"	71.3224487304688	-156.673477172852	2018-06-12 16:36:00	0
2018	"270170059"	"M"	"W"	"G,G"	"R"	17	"M"	71.32373046875	-156.673248291016	2018-06-13 09:59:00	0
2018	"270170060"	"M"	"W"	"W,O"	"R"	21	"M"	71.3231048583984	-156.675354003906	2018-06-13 10:20:00	0
2018	"270170061"	"M"	"W"	"G,O"	"R"	23	"M"	71.3229446411133	-156.676071166992	2018-06-13 10:48:00	0
2018	"270170062"	"M"	"W"	"R,DB"	"DB"	24	"M"	71.3236999511719	-156.674652099609	2018-06-13 10:58:00	0
2018	"270170063"	"M"	"W"	"W,G"	"G"	27	"M"	71.3226547241211	-156.675521850586	2018-06-13 11:45:00	0
2019	"270170063"	"M"	"W"	"W,G"	"G"	264	"M"	71.315628	-156.659053	2019-06-13 18:15:00	0
2018	"270170064"	"M"	"W"	"R,R"	"DB"	30	"M"	71.3238067626953	-156.672760009766	2018-06-13 14:37:00	0
2018	"270170065"	"M"	"W"	"O,W"	"G"	41	"F"	71.3237457275391	-156.674987792969	2018-06-14 09:58:00	0
2018	"270170066"	"M"	"W"	"O,W"	"O"	42	"M"	71.3237457275391	-156.674987792969	2018-06-14 09:58:00	0
2018	"270170067"	"W"	"M"	"R,G"	"W"	43	"M"	71.3237457275391	-156.674987792969	2018-06-14 09:58:00	0
2018	"270170068"	"M"	"W"	"O,DB"	"O"	45	"F"	71.3240051269531	-156.674850463867	2018-06-14 10:33:00	0
2018	"270170069"	"M"	"W"	"R,Y"	"G"	47	"M"	71.3235473632812	-156.672912597656	2018-06-14 11:17:00	0
2018	"270170070"	"M"	"W"	"G,G"	"DB"	49	"M"	71.3231964111328	-156.67431640625	2018-06-14 11:43:00	0
2018	"270170071"	"M"	"W"	"G,Y"	"Y"	53	"F"	71.3221969604492	-156.674682617188	2018-06-14 14:49:00	0
2018	"270170072"	"M"	"W"	"W,R"	"DB"	54	"M"	71.3233947753906	-156.674606323242	2018-06-14 15:04:00	0
2018	"270170073"	"M"	"W"	"R,W"	"Y"	55	"M"	71.3222198486328	-156.674514770508	2018-06-14 15:36:00	0
2018	"270170074"	"M"	"W"	"O,O"	"W"	63	"F"	71.3235397338867	-156.675933837891	2018-06-15 17:01:00	0
2018	"270170075"	"M"	"W"	"O,G"	"DB"	73	"M"	71.3233337402344	-156.671112060547	2018-06-16 12:00:00	0
2018	"270170076"	"M"	"W"	"DB,G"	"R"	77	"F"	71.3226165771484	-156.674652099609	2018-06-17 18:00:00	0
2018	"270170077"	"M"	"W"	"DB,O"	"Y"	NA	"F"	71.323371887207	-156.630294799805	2018-06-19 11:33:00	0
2018	"270170078"	"M"	"W"	"G,R"	"G"	NA	"M"	71.3234100341797	-156.630325317383	2018-06-19 11:46:00	0
2018	"270170079"	"M"	"W"	"G,G"	"Y"	NA	"M"	71.3233413696289	-156.630432128906	2018-06-19 12:10:00	0
2018	"270170080"	"M"	"W"	"Y,W"	"O"	NA	"F"	71.3233413696289	-156.630432128906	2018-06-19 12:10:00	0
2018	"270170081"	"M"	"W"	"W,W"	"G"	NA	"F"	71.3233947753906	-156.630340576172	2018-06-19 12:50:00	0
2018	"270170082"	"M"	"W"	"DB,O"	"W"	NA	"M"	71.3233947753906	-156.630340576172	2018-06-19 12:50:00	0
2018	"270170083"	"M"	"W"	"O,DB"	"R"	NA	"F"	71.3232421875	-156.626174926758	2018-06-19 14:39:00	0
2018	"270170084"	"M"	"W"	"DB,W"	"W"	NA	"F"	71.3233337402344	-156.626937866211	2018-06-19 15:12:00	0
2018	"270170085"	"M"	"W"	"Y,Y"	"W"	NA	"M"	71.3232421875	-156.626174926758	2018-06-19 14:39:00	0
2018	"270170086"	"M"	"W"	"R,Y"	"DB"	NA	"M"	71.3236694335938	-156.626525878906	2018-06-19 16:30:00	0
2018	"270170087"	"M"	"W"	"W,DB"	"Y"	NA	"F"	71.3242034912109	-156.636016845703	2018-06-20 10:32:00	0
2018	"270170088"	"M"	"W"	"Y,W"	"G"	NA	"M"	71.3242416381836	-156.630172729492	2018-06-20 11:30:00	0
2018	"270170089"	"M"	"W"	"W,O"	"W"	NA	"M"	71.3232803344727	-156.626983642578	2018-06-20 12:32:00	0
2019	"270170089"	"M"	"W"	"W,O"	"W"	150	"M"	71.323299	-156.629633	2019-06-07 18:22:00	0
2018	"270170090"	"M"	"W"	"Y,Y"	"O"	NA	"F"	71.3232879638672	-156.626861572266	2018-06-20 14:07:00	0
2018	"270170091"	"M"	"W"	"G,DB"	"G"	NA	"M"	71.3232727050781	-156.626937866211	2018-06-20 14:29:00	0
2019	"270170091"	"M"	"W"	"G,DB"	"G"	NA	"M"	71.324065	-156.647334	2019-06-20 10:30:00	0
2018	"270170092"	"M"	"W"	"DB,DB"	"R"	NA	"M"	71.3246612548828	-156.621887207031	2018-06-20 15:14:00	0
2018	"270170093"	"M"	"W"	"G,W"	"O"	NA	"F"	71.3243942260742	-156.623550415039	2018-06-20 16:08:00	0
2018	"270170094"	"M"	"W"	"O,G"	"W"	NA	"M"	71.3238677978516	-156.642929077148	2018-06-21 10:19:00	0
2018	"270170095"	"M"	"W"	"O,DB"	"DB"	NA	"F"	71.3238677978516	-156.642929077148	2018-06-21 10:19:00	0
2018	"270170096"	"M"	"W"	"DB,G"	"O"	NA	"F"	71.3228530883789	-156.64030456543	2018-06-21 11:14:00	0
2018	"270170097"	"M"	"W"	"G,Y"	"G"	NA	"M"	71.3228530883789	-156.64030456543	2018-06-21 11:10:00	0
2018	"270170098"	"M"	"W"	"Y,G"	"W"	NA	"F"	71.3219528198242	-156.630661010742	2018-06-21 12:24:00	0
2018	"270170099"	"M"	"W"	"R,R"	"G"	NA	"M"	71.3285446166992	-156.641540527344	2018-06-23 11:27:00	0
