"data_type"	"year_"	"nestID"	"male_id"	"female_id"	"male_assigned"	"female_assigned"	"found_datetime"	"clutch_size"	"initiation"	"initiation_method"	"egg1"	"egg2"	"egg3"	"egg4"	"hatching_datetime"	"nest_state"	"nest_state_date"	"lat"	"lon"	"parentage"	"anyEPY"	"N_parentage"	"N_EPY"	"female_clutch"	"N_female_clutch"	"polyandrous"	"male_clutch"	"N_male_clutch"	"clutch_together"	"renesting_male"	"m_tagged"	"f_tagged"
"own_off_site"	2018	"R1201_18"	NA	NA	0	0	"2018-06-15 17:13:00"	4	NA	NA	NA	NA	NA	NA	NA	"P"	"2018-06-29 07:59:00"	71.306726	-156.706752	FALSE	NA	NA	NA	1	1	FALSE	1	1	NA	FALSE	FALSE	FALSE
"study_site"	2018	"R701_18"	NA	NA	0	0	"2018-06-22 12:30:00"	4	NA	NA	NA	NA	NA	NA	NA	"P"	"2018-06-23 12:20:00"	71.329095	-156.644472	FALSE	NA	NA	NA	1	1	FALSE	1	1	NA	FALSE	FALSE	FALSE
"own_off_site"	2018	"R703_18"	NA	NA	0	0	"2018-06-27 11:10:00"	4	NA	NA	NA	NA	NA	NA	NA	"P"	"2018-07-07 11:38:00"	71.278372	-156.643228	FALSE	NA	NA	NA	1	1	FALSE	1	1	NA	FALSE	FALSE	FALSE
"own_off_site"	2018	"R801_18"	NA	NA	0	0	"2018-06-19 12:32:00"	4	NA	NA	NA	NA	NA	NA	NA	"P"	"2018-06-25 23:19:00"	71.295975	-156.678019	FALSE	NA	NA	NA	1	1	FALSE	1	1	NA	FALSE	FALSE	FALSE
"own_off_site"	2018	"R902_18"	NA	NA	0	0	"2018-06-17 11:40:00"	2	NA	NA	NA	NA	NA	NA	NA	"D"	"2018-06-27 10:15:00"	71.304781	-156.725917	FALSE	NA	NA	NA	1	1	FALSE	1	1	NA	FALSE	FALSE	FALSE
"own_off_site"	2018	"R201_18"	NA	NA	0	0	"2018-06-16 17:10:00"	4	2018-06-14 17:10:00	"0"	NA	NA	NA	NA	NA	"H"	"2018-07-07 22:12:59"	71.288518	-156.669323	FALSE	NA	NA	NA	1	1	FALSE	1	1	NA	FALSE	FALSE	FALSE
"own_off_site"	2018	"R603_18"	NA	NA	0	0	"2018-06-25 12:15:00"	4	2018-06-23 12:15:00	"0"	NA	NA	NA	NA	NA	"H"	"2018-07-14 12:20:59"	71.278752	-156.64502	FALSE	NA	NA	NA	1	1	FALSE	1	1	NA	FALSE	FALSE	FALSE
"own_off_site"	2018	"R208_18"	270170719	NA	3	0	"2018-07-01 11:23:53"	4	2019-06-11 07:42:32	"3"	"2019-06-11 07:42:32"	"2019-06-12 10:00:47"	"2019-06-13 12:37:11"	"2019-06-14 12:01:14"	NA	"U"	NA	71.255211	-156.644992	FALSE	NA	NA	NA	1	1	FALSE	1	1	NA	FALSE	TRUE	FALSE
"survey_plot"	2018	"REPH167_18"	270170749	NA	1	0	"2018-06-26 12:00:00"	4	2018-06-24 12:00:00	"0"	NA	NA	NA	NA	NA	"P"	"2018-07-03 12:00:00"	71.29774	-156.63281	FALSE	NA	NA	NA	1	1	FALSE	1	1	NA	FALSE	TRUE	FALSE
"study_site"	2019	"R501_19"	270170924	NA	1	0	"2019-06-11 16:00:00"	4	2019-06-07 12:00:00	"3"	NA	NA	NA	NA	NA	"P"	"2019-06-12 12:38:00"	71.32195	-156.63284	FALSE	NA	NA	NA	1	1	FALSE	1	1	NA	FALSE	TRUE	FALSE
"study_site"	2019	"R226_19"	270170932	NA	1	0	"2019-06-23 12:17:00"	4	2019-06-17 12:00:00	"3"	NA	NA	NA	NA	NA	"P"	"2019-06-23 12:18:00"	71.318839	-156.669684	FALSE	NA	NA	NA	1	1	FALSE	1	1	NA	FALSE	TRUE	FALSE
"own_off_site"	2019	"R322_19"	273145042	NA	1	3	"2019-07-09 18:19:00"	4	2019-06-20 12:00:00	"3"	NA	NA	NA	NA	NA	"P"	"2019-07-11 15:00:00"	71.299432	-156.639829	FALSE	NA	NA	NA	1	1	FALSE	1	1	NA	FALSE	TRUE	FALSE
